,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
280,https://www.immoweb.be/en/classified/house/for-sale/bekkevoort%20%28molenbeek-wersbeek%29/3461/10836348,Flanders,Flemish Brabant,Bekkevoort (Molenbeek-Wersbeek),HOUSE,HOUSE,499000.0,4.0,215.0,,False,,True,14.0,True,8.0,1708,3,False,GOOD
281,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/10836341,Brussels,Brussels,Uccle,APARTMENT,FLAT_STUDIO,155000.0,1.0,40.0,0,False,,,,,,UNKNOWN,2,,AS_NEW
282,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10836338,Flanders,West Flanders,Roeselare,HOUSE,HOUSE,174000.0,3.0,143.0,INSTALLED,False,1.0,True,25.0,True,100.0,195,2,,TO_BE_DONE_UP
283,https://www.immoweb.be/en/classified/house/for-sale/treignes/5670/10836337,Wallonie,Namur,Treignes,HOUSE,HOUSE,218000.0,6.0,150.0,HYPER_EQUIPPED,False,1.0,True,23.0,True,205.0,517,3,,
284,https://www.immoweb.be/en/classified/apartment/for-sale/kontich/2550/10836332,Flanders,Antwerp,Kontich,APARTMENT,APARTMENT,229500.0,2.0,99.0,HYPER_EQUIPPED,,,,,,,UNKNOWN,,,AS_NEW
285,https://www.immoweb.be/en/classified/ground-floor/for-sale/molenbeek-saint-jean/1080/10836327,Brussels,Brussels,Molenbeek-Saint-Jean,APARTMENT,GROUND_FLOOR,345000.0,3.0,120.0,0,False,,True,,,,UNKNOWN,,,AS_NEW
286,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10836326,Brussels,Brussels,Schaerbeek,APARTMENT,APARTMENT,234000.0,2.0,100.0,0,True,,True,,,,UNKNOWN,2,,TO_BE_DONE_UP
287,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/10836323,Flanders,West Flanders,Roeselare,APARTMENT,APARTMENT,158000.0,1.0,80.0,HYPER_EQUIPPED,False,,True,8.0,True,,,2,,AS_NEW
288,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10836317,Brussels,Brussels,Forest,APARTMENT,APARTMENT,398500.0,2.0,91.0,INSTALLED,False,,True,12.0,,,UNKNOWN,2,False,JUST_RENOVATED
289,https://www.immoweb.be/en/classified/house/for-sale/brecht/2960/10836315,Flanders,Antwerp,Brecht,HOUSE,HOUSE,599000.0,3.0,237.0,0,,,True,,,,1125,,True,GOOD
290,https://www.immoweb.be/en/classified/house/for-sale/jemelle/5580/10836309,Wallonie,Namur,Jemelle,HOUSE,HOUSE,65000.0,5.0,134.0,,False,,,,,,88,3,,TO_RENOVATE
291,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/10836308,Flanders,East Flanders,Sint-Niklaas,HOUSE,HOUSE,845000.0,4.0,254.0,INSTALLED,,,True,,,,3421,4,,GOOD
292,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/10836307,Flanders,Antwerp,Bornem,HOUSE,HOUSE,289000.0,3.0,145.0,,False,,,,,,220,2,False,TO_BE_DONE_UP
293,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10836306,Brussels,Brussels,Forest,APARTMENT,APARTMENT,284000.0,2.0,113.0,,False,,True,17.0,,,,,,
294,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10708234,Brussels,Brussels,Brussels City,APARTMENT,APARTMENT,389000.0,2.0,100.0,USA_HYPER_EQUIPPED,False,,True,7.0,,,UNKNOWN,,,AS_NEW
295,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10836305,Flanders,West Flanders,Knokke-Heist,APARTMENT,APARTMENT,845000.0,3.0,86.0,USA_HYPER_EQUIPPED,False,,True,4.0,,,,2,False,JUST_RENOVATED
296,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10836304,Flanders,West Flanders,Knokke-Heist,APARTMENT,APARTMENT,845000.0,3.0,82.0,USA_HYPER_EQUIPPED,False,,True,4.0,,,,2,False,JUST_RENOVATED
297,https://www.immoweb.be/en/classified/apartment/for-sale/virton/6760/10836302,Wallonie,Luxembourg,Virton,APARTMENT,APARTMENT,285000.0,2.0,86.0,NOT_INSTALLED,,,True,6.0,,,UNKNOWN,,False,AS_NEW
298,https://www.immoweb.be/en/classified/apartment/for-sale/libin/6890/10836300,Wallonie,Luxembourg,Libin,APARTMENT,APARTMENT,289000.0,3.0,91.0,HYPER_EQUIPPED,False,,True,10.0,True,40.0,UNKNOWN,3,False,GOOD
299,https://www.immoweb.be/en/classified/apartment/for-sale/libin/6890/10836299,Wallonie,Luxembourg,Libin,APARTMENT,APARTMENT,244900.0,2.0,82.0,0,False,,True,6.0,,,UNKNOWN,,False,
